caller_object,target_object,access_type
ZMM_STOCK_HELPER,ZMM_STOCK_SYNC,Call
Z_LEGACY_MIG_10,PRICING_CONDITIONS,Read
Z_WAREHOUSE_MAP,PURCHASE_ORDER_HEADER,Read
Z_LEGACY_MIG_08,BILLING_DOC_HEADER,Read
Z_COMPLAINT_LOG_V2,FM_FI_SET_1198,Call
ZFM_HELPER_011,FM_CO_SET_1008,Call
Z_LEGACY_MIG_07,BILLING_DOC_HEADER,Read
Z_DELIVERY_SPLIT_V2,FM_SD_SET_1138,Call
ZFI_MASS_REVERSAL,FM_CO_GET_1041,Call
ZFM_HELPER_016,VENDOR_MASTER,Read
ZFM_HELPER_002,ZT_CUSTOM_TABLE_17,Read
Z_SEASONAL_PRICING,CREDIT_LIMITS,Read
Z_LEGACY_MIG_01,VENDOR_MASTER,Read
Z_WAREHOUSE_MAP,ZT_CUSTOM_TABLE_01,Read
Y_DATA_CLEANSER,ZT_CUSTOM_TABLE_06,Read
Z_LEGACY_MIG_07,COST_CENTER_POSTINGS,Read
STD_BILLING_RUN_BATCH,FINANCIAL_DOC_HEADER,Read
ZMM_STOCK_SYNC,PURCHASE_ORDER_HEADER,Read
Z_ORDER_ENRICH,STOCK_LEVELS,Read
Z_PICKLIST_OPT_V2,BILLING_DOC_HEADER,Read
Z_LEGACY_MIG_06,FM_CO_GET_1176,Call
ZFM_HELPER_006,DELIVERY_HEADER,Read
ZSD_ORDER_UNBLOCK,BILLING_DOC_HEADER,Read
Z_PICKLIST_OPT,Z_DISCOUNT_ENGINE,Call
Z_LEGACY_MIG_09,Z_MARGIN_CALC,Call
Z_VENDOR_SCORECARD,ZT_CUSTOM_TABLE_03,Read
ZFM_HELPER_010,MATERIAL_MASTER,Read
Z_LEGACY_MIG_10,BILLING_DOC_HEADER,Read
Z_EDI_MAP_CUST01,DELIVERY_HEADER,Read
Z_VENDOR_SCORECARD_V2,PRICING_CONDITIONS,Read
ZFM_HELPER_006,ZFM_HELPER_007,Call
Z_PRICE_OVERRIDE_V2,VENDOR_MASTER,Read
ZMM_STOCK_HELPER,FM_MM_POST_1166,Call
ZFM_HELPER_020,SALES_ORDER_HEADER,Read
Z_ORDER_ENRICH,CUSTOMER_MASTER,Read
Y_INVOICE_MATCH,FM_PP_GET_1024,Call
Z_PICKLIST_OPT_V2,ZT_CUSTOM_TABLE_16,Read
Z_KPI_EXTRACT,MATERIAL_MASTER,Read
ZFM_HELPER_007,Z_LEGACY_MIG_09,Call
Z_QUOTA_CHECK,FM_BC_POST_1001,Call
Z_COMPLAINT_LOG_V2,FM_SD_POST_1020,Call
Z_BONUS_CALC,SALES_ORDER_ITEM,Write
ZSD_ORDER_UNBLOCK,CREDIT_LIMITS,Read
Z_PAYMENT_PROPOSAL,STOCK_LEVELS,Read
ZFM_HELPER_015,Z_BONUS_CALC,Call
Z_PICKLIST_OPT_V2,CUSTOMER_MASTER,Read
Z_RETURNS_HANDLER,FM_BC_POST_1125,Call
Z_MARGIN_CALC,PRICING_CONDITIONS,Read
Z_DISCOUNT_ENGINE,FINANCIAL_DOC_ITEM,Read
STD_STOCK_OVERVIEW_V2,PRICING_CONDITIONS,Read
Y_SHIPMENT_TRACKER,FINANCIAL_DOC_HEADER,Read
Z_MASS_UPDATE_MAT,ZFM_HELPER_008,Call
Zsd_Invoice_Check,PURCHASE_ORDER_HEADER,Read
ZFM_HELPER_011,FINANCIAL_DOC_ITEM,Read
Z_QUOTA_CHECK,FINANCIAL_DOC_HEADER,Read
Z_LEGACY_MIG_11,CREDIT_LIMITS,Read
ZFM_HELPER_008,Z_KPI_EXTRACT,Call
Z_LEGACY_MIG_05,FM_BC_READ_1047,Call
Z_RETURNS_HANDLER,SALES_ORDER_HEADER,Write
Y_INVOICE_MATCH_V2,COST_CENTER_POSTINGS,Read
Z_PICKLIST_OPT_V2,MATERIAL_MASTER,Read
Y_INVOICE_MATCH,PURCHASE_ORDER_HEADER,Read
ZPRC_REBATE_CALC,PRICING_CONDITIONS,Read
Z_DELIVERY_SPLIT_V2,PRICING_CONDITIONS,Read
STD_GL_POSTING_V2,FINANCIAL_DOC_ITEM,Read
Z_LEGACY_MIG_06,Y_AUDIT_EXTRACT,Call
Z_PRICE_OVERRIDE,SALES_ORDER_HEADER,Read
Z_VENDOR_SCORECARD_V2,FM_SD_SET_1149,Call
Z_SEASONAL_PRICING,FM_SD_GET_1124,Call
ZFM_HELPER_022,BILLING_DOC_HEADER,Read
Zsd_Invoice_Check,PRICING_CONDITIONS,Read
Z_WAREHOUSE_MAP,MATERIAL_MASTER,Read
ZFM_HELPER_018,FM_MM_CHECK_1014,Call
Z_BONUS_CALC,ZT_CUSTOM_TABLE_10,Read
Z_EDI_MAP_CUST01,SALES_ORDER_HEADER,Read
Y_AUDIT_EXTRACT,FM_MM_POST_1011,Call
STD_OUTPUT_CONTROL,SALES_ORDER_HEADER,Write
Z_PLANT_REPORT,Z_KPI_EXTRACT,Call
STD_PO_APPROVE,VENDOR_MASTER,Read
Z_LEGACY_MIG_10,MATERIAL_MASTER,Read
Z_LEGACY_MIG_11,FM_BC_POST_1125,Call
STD_GOODS_RECEIPT,STOCK_LEVELS,Read
Z_PLANT_REPORT,ZT_CUSTOM_TABLE_09,Read
Z_LABEL_PRINT,FINANCIAL_DOC_HEADER,Read
Z_LEGACY_MIG_07,FINANCIAL_DOC_ITEM,Read
STD_BATCH_SCHEDULER,DELIVERY_HEADER,Write
ZFI_MASS_REVERSAL,BILLING_DOC_HEADER,Read
Y_SHIPMENT_TRACKER,FM_MM_GET_1003,Call
ZFI_MASS_REVERSAL,FINANCIAL_DOC_HEADER,Write
Z_FX_REVALUATION,Z_PICKLIST_OPT_V2,Call
Z_LEGACY_MIG_08,FINANCIAL_DOC_HEADER,Read
ZFM_HELPER_022,PURCHASE_ORDER_HEADER,Write
Z_QUOTA_CHECK,CUSTOMER_MASTER,Read
Z_PICKLIST_OPT,CUSTOMER_MASTER,Read
ZFM_HELPER_020,BILLING_DOC_HEADER,Read
ZFM_HELPER_011,FM_MM_SET_1010,Call
Z_KPI_EXTRACT,ZFI_CUSTOM_POST,Call
STD_TRANSPORT_TOOL_V2,VENDOR_MASTER,Read
Z_MASS_UPDATE_MAT,FM_MM_POST_1095,Call
ZFM_HELPER_007,FM_PP_POST_1171,Call
ZFI_MASS_REVERSAL,Y_AUDIT_EXTRACT,Call
Y_AUDIT_EXTRACT,DELIVERY_HEADER,Read
ZSD_ORDER_UNBLOCK,FM_PP_CALC_1111,Call
ZFM_HELPER_017,FM_SD_READ_1069,Call
ZFM_HELPER_003,COST_CENTER_POSTINGS,Read
Z_SEASONAL_PRICING,Z_LEGACY_MIG_01,Call
Z_WAREHOUSE_MAP_V2,Z_LEGACY_MIG_09,Call
Z_VENDOR_SCORECARD,FINANCIAL_DOC_ITEM,Read
Z_DELIVERY_SPLIT_V2,CREDIT_LIMITS,Read
Z_STOCK_CORRECTION_V2,ZT_CUSTOM_TABLE_13,Read
ZSD_ORDER_UNBLOCK,SALES_ORDER_HEADER,Write
ZFM_HELPER_014,PURCHASE_ORDER_HEADER,Read
ZFM_HELPER_010,COST_CENTER_POSTINGS,Read
Y_SHIPMENT_TRACKER,BILLING_DOC_HEADER,Read
ZFM_HELPER_013,FINANCIAL_DOC_ITEM,Read
Z_INTERFACE_MONITOR,PRICING_CONDITIONS,Read
ZSD_INVOICE_CHECK,FM_PP_CALC_1111,Call
Z_DELIVERY_SPLIT_V2,FM_MM_CHECK_1110,Call
Z_RETURNS_HANDLER,VENDOR_MASTER,Read
ZFM_HELPER_009,PURCHASE_ORDER_HEADER,Read
ZFM_HELPER_012,BILLING_DOC_HEADER,Read
Y_INVOICE_MATCH_V2,FM_BC_POST_1098,Call
Z_WAREHOUSE_MAP,FINANCIAL_DOC_ITEM,Read
Y_MONTH_END_HELPER,SALES_ORDER_HEADER,Read
Z_SEASONAL_PRICING,ZT_CUSTOM_TABLE_13,Read
STD_COST_ALLOCATION,FINANCIAL_DOC_ITEM,Write
Z_LABEL_PRINT,FM_CO_CHECK_1084,Call
ZFI_CUSTOM_POST,Z_LEGACY_MIG_03,Call
ZFM_HELPER_002,DELIVERY_HEADER,Read
Z_SEASONAL_PRICING,ZT_CUSTOM_TABLE_05,Read
ZFM_HELPER_017,FM_PP_POST_1170,Call
Y_INVOICE_MATCH,FM_CO_CALC_1061,Call
Y_EDI_MAP_CUST02,MATERIAL_MASTER,Read
Y_CREDIT_REPORT,FM_CO_CALC_1013,Call
Z_LEGACY_MIG_09,FINANCIAL_DOC_ITEM,Read
Z_EDI_MAP_CUST01,FM_SD_READ_1019,Call
STD_TRANSPORT_TOOL,SALES_ORDER_ITEM,Read
Z_LEGACY_MIG_05,Z_MASS_UPDATE_MAT_V2,Call
Z_PRICE_OVERRIDE_V2,FINANCIAL_DOC_HEADER,Read
Z_LEGACY_MIG_07,FINANCIAL_DOC_HEADER,Read
Z_ORDER_ENRICH,FINANCIAL_DOC_HEADER,Read
Y_DATA_CLEANSER,FM_SD_CALC_1123,Call
Y_INVOICE_MATCH_V2,STOCK_LEVELS,Read
ZFM_HELPER_012,Z_BONUS_CALC,Call
Z_LEGACY_MIG_02,ZFM_HELPER_004,Call
Z_REBATE_REPORT,FM_CO_CALC_1158,Call
Z_MASS_UPDATE_MAT,COST_CENTER_POSTINGS,Read
Z_COMPLAINT_LOG_V2,ZT_CUSTOM_TABLE_02,Write
Z_DELIVERY_SPLIT,CUSTOMER_MASTER,Read
Z_LABEL_PRINT,ZT_CUSTOM_TABLE_03,Write
ZFM_HELPER_002,COST_CENTER_POSTINGS,Read
ZSD_INVOICE_CHECK,ZT_CUSTOM_TABLE_07,Read
STD_TRANSPORT_TOOL,DELIVERY_HEADER,Read
ZFM_HELPER_007,DELIVERY_HEADER,Read
Z_EDI_MAP_CUST01,FM_FI_CALC_1054,Call
Z_BONUS_CALC,MATERIAL_MASTER,Read
Z_CUSTOMS_EXPORT,Z_VENDOR_SCORECARD_V2,Call
STD_USER_ADMIN_BATCH,CUSTOMER_MASTER,Read
Z_LABEL_PRINT,MATERIAL_MASTER,Read
Z_LEGACY_MIG_06,SALES_ORDER_ITEM,Read
Z_FX_REVALUATION,FM_BC_GET_1043,Call
Z_LEGACY_MIG_01,Z_CUSTOMS_EXPORT,Call
ZSD_INVOICE_CHECK,PURCHASE_ORDER_HEADER,Read
STD_ARCHIVE_RUN_BATCH,PURCHASE_ORDER_HEADER,Read
Z_WAREHOUSE_MAP,ZT_CUSTOM_TABLE_10,Read
Z_TRUCK_PLANNING,FM_CO_CHECK_1178,Call
Y_INVOICE_MATCH,FM_PP_CALC_1099,Call
Z_LEGACY_MIG_07,FM_PP_SET_1141,Call
ZFM_HELPER_001,PURCHASE_ORDER_HEADER,Read
Y_DATA_CLEANSER,FM_FI_CHECK_1152,Call
ZFM_HELPER_012,FM_CO_POST_1004,Call
Z_LEGACY_MIG_06,CREDIT_LIMITS,Read
Z_LEGACY_MIG_11,ZT_CUSTOM_TABLE_12,Read
Y_INVOICE_MATCH,FM_PP_READ_1121,Call
Z_PRICE_OVERRIDE_V2,Z_WAREHOUSE_MAP_V2,Call
Z_COMPLAINT_LOG_V2,CREDIT_LIMITS,Read
Z_EDI_MAP_CUST01,FM_BC_READ_1091,Call
Z_VENDOR_SCORECARD_V2,STOCK_LEVELS,Read
Z_LEGACY_MIG_04,ZT_CUSTOM_TABLE_14,Read
Z_PAYMENT_PROPOSAL_V2,CREDIT_LIMITS,Read
ZFM_HELPER_013,SALES_ORDER_HEADER,Read
Z_BONUS_CALC,Z_PAYMENT_PROPOSAL_V2,Call
ZFM_HELPER_006,BILLING_DOC_HEADER,Read
Y_EDI_MAP_CUST02,CREDIT_LIMITS,Read
Z_LEGACY_MIG_06,CUSTOMER_MASTER,Read
Z_ORDER_ENRICH,FM_CO_CHECK_1178,Call
Z_EDI_MAP_CUST01,FM_MM_GET_1017,Call
ZFM_HELPER_021,Z_CUSTOMS_EXPORT,Call
Z_FX_REVALUATION,FM_CO_SET_1068,Call
Z_QUOTA_CHECK,DELIVERY_HEADER,Read
Y_INVOICE_MATCH_V2,BILLING_DOC_HEADER,Read
Z_LEGACY_MIG_01,ZFM_HELPER_017,Call
ZFM_HELPER_013,Z_DELIVERY_SPLIT,Call
ZSD_INVOICE_CHECK,FM_BC_GET_1134,Call
Z_VENDOR_SCORECARD_V2,FM_SD_POST_1020,Call
Z_STOCK_CORRECTION_V2,CREDIT_LIMITS,Read
Z_LEGACY_MIG_08,FM_FI_CHECK_1076,Call
Y_AUDIT_EXTRACT,Z_PRICE_OVERRIDE_V2,Call
Zsd_Invoice_Check,CUSTOMER_MASTER,Read
STD_CREDIT_CHECK_V2,PURCHASE_ORDER_HEADER,Read
Z_MASS_UPDATE_MAT_V2,FM_SD_CALC_1139,Call
Y_INVOICE_MATCH_V2,FINANCIAL_DOC_HEADER,Write
STD_ARCHIVE_RUN_V2,FINANCIAL_DOC_HEADER,Read
Y_DATA_CLEANSER,ZT_CUSTOM_TABLE_15,Read
Z_DELIVERY_SPLIT_V2,MATERIAL_MASTER,Read
ZFM_HELPER_018,PRICING_CONDITIONS,Read
Z_MASS_UPDATE_MAT_V2,FINANCIAL_DOC_HEADER,Read
Z_WAREHOUSE_MAP_V2,DELIVERY_HEADER,Read
ZFM_HELPER_020,Y_SHIPMENT_TRACKER,Call
Y_SHIPMENT_TRACKER_V2,CREDIT_LIMITS,Read
Z_ORDER_ENRICH,Z_PAYMENT_PROPOSAL,Call
Z_STOCK_CORRECTION,FM_SD_READ_1097,Call
ZFM_HELPER_005,FM_CO_POST_1103,Call
ZMM_STOCK_HELPER,FINANCIAL_DOC_ITEM,Read
Z_MASS_UPDATE_MAT,ZT_CUSTOM_TABLE_06,Read
Z_WAREHOUSE_MAP,CUSTOMER_MASTER,Read
STD_BATCH_SCHEDULER,PRICING_CONDITIONS,Read
ZFM_HELPER_020,DELIVERY_HEADER,Read
Z_REBATE_REPORT,COST_CENTER_POSTINGS,Read
Z_LEGACY_MIG_10,COST_CENTER_POSTINGS,Read
Z_STOCK_CORRECTION_V2,SALES_ORDER_HEADER,Read
Z_STOCK_CORRECTION,CUSTOMER_MASTER,Read
ZFM_HELPER_018,CREDIT_LIMITS,Read
ZFM_HELPER_018,CUSTOMER_MASTER,Read
STD_TRANSPORT_TOOL,STOCK_LEVELS,Read
STD_PO_APPROVE,FINANCIAL_DOC_HEADER,Write
Z_LEGACY_MIG_04,FM_CO_READ_1154,Call
ZFM_HELPER_022,FM_MM_SET_1045,Call
Z_LEGACY_MIG_11,Z_PICKLIST_OPT,Call
ZFM_HELPER_007,FM_SD_SET_1175,Call
Y_SHIPMENT_TRACKER,ZFM_HELPER_008,Call
Z_WAREHOUSE_MAP_V2,Z_TAX_ADJUST_V2,Call
STD_CREDIT_CHECK,COST_CENTER_POSTINGS,Read
ZMM_STOCK_HELPER,CREDIT_LIMITS,Read
Y_AUDIT_EXTRACT,ZFM_HELPER_008,Call
ZMM_STOCK_SYNC,ZMM_STOCK_HELPER,Call
Z_PRICE_OVERRIDE,FM_BC_CHECK_1027,Call
ZFM_HELPER_012,CUSTOMER_MASTER,Read
Z_LEGACY_MIG_03,FM_CO_SET_1007,Call
Z_LABEL_PRINT,FM_BC_READ_1015,Call
STD_PRICING_ENGINE,BILLING_DOC_HEADER,Write
ZFM_HELPER_004,COST_CENTER_POSTINGS,Read
ZFM_HELPER_010,FINANCIAL_DOC_ITEM,Read
Z_CUSTOMS_EXPORT,ZT_CUSTOM_TABLE_11,Read
Z_LEGACY_MIG_10,CUSTOMER_MASTER,Read
STD_PO_APPROVE,BILLING_DOC_HEADER,Read
Z_DELIVERY_SPLIT,ZT_CUSTOM_TABLE_10,Read
Y_DATA_CLEANSER,Z_LEGACY_SYNC,Call
ZFM_HELPER_003,Z_KPI_EXTRACT,Call
Zsd_Invoice_Check,ZT_CUSTOM_TABLE_06,Read
Z_COMPLAINT_LOG_V2,FM_SD_READ_1019,Call
ZFM_HELPER_022,FM_FI_GET_1023,Call
STD_GL_POSTING_V2,PRICING_CONDITIONS,Read
Z_TAX_ADJUST,VENDOR_MASTER,Read
ZFM_HELPER_010,FM_CO_CHECK_1150,Call
Y_CREDIT_REPORT,ZT_CUSTOM_TABLE_09,Read
Z_PICKLIST_OPT,Z_ORDER_ENRICH,Call
ZFM_HELPER_020,FINANCIAL_DOC_ITEM,Read
Z_MASS_UPDATE_MAT,FM_SD_POST_1144,Call
ZFM_HELPER_018,SALES_ORDER_HEADER,Read
Z_REBATE_REPORT,BILLING_DOC_HEADER,Read
Z_EDI_MAP_CUST01_V2,CUSTOMER_MASTER,Read
Y_CREDIT_REPORT,STOCK_LEVELS,Read
ZFM_HELPER_017,VENDOR_MASTER,Read
ZFM_HELPER_014,ZT_CUSTOM_TABLE_14,Read
Z_BONUS_CALC,COST_CENTER_POSTINGS,Read
ZFM_HELPER_016,FINANCIAL_DOC_ITEM,Read
Z_LEGACY_MIG_07,ZT_CUSTOM_TABLE_17,Write
Z_EDI_MAP_CUST01,VENDOR_MASTER,Read
Z_STOCK_CORRECTION,ZT_CUSTOM_TABLE_16,Read
ZFM_HELPER_016,FM_CO_POST_1004,Call
Z_QUOTA_CHECK,FM_BC_GET_1135,Call
Z_VENDOR_SCORECARD,ZT_CUSTOM_TABLE_02,Read
STD_DELIVERY_CREATE_V2,CUSTOMER_MASTER,Write
ZFM_HELPER_017,FM_PP_POST_1002,Call
ZFM_HELPER_013,ZT_CUSTOM_TABLE_11,Read
Z_LEGACY_MIG_01,FM_PP_SET_1141,Call
Z_LEGACY_MIG_09,ZT_CUSTOM_TABLE_14,Write
Z_INTERFACE_MONITOR,FM_SD_SET_1138,Call
Z_WAREHOUSE_MAP,ZFI_MASS_REVERSAL,Call
Z_INTERFACE_MONITOR,Z_LEGACY_MIG_05,Call
Z_ORDER_VALIDATE,FINANCIAL_DOC_HEADER,Read
ZFM_HELPER_020,PURCHASE_ORDER_HEADER,Read
Z_PICKLIST_OPT_V2,FM_PP_READ_1096,Call
Z_PRICE_OVERRIDE,MATERIAL_MASTER,Read
Z_LEGACY_MIG_06,FM_PP_SET_1161,Call
ZFM_HELPER_011,FM_MM_GET_1064,Call
Z_LABEL_PRINT,COST_CENTER_POSTINGS,Read
ZSD_ORDER_UNBLOCK,ZFI_CUSTOM_POST,Call
